id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,6,5
290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,3,8
291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,7,8
292,Taft St & E Gude Dr,32031,39.094103,-77.132954,8,7
293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,5,10
294,Piccard & W Gude Dr,32033,39.102212,-77.177091,8,11
295,Ripley & Bonifant St,32034,38.992679,-77.029457,6,9
296,Georgia Ave & Spring St,32035,38.999388,-77.031555,2,9
297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,5,10
298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,8,10
299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,3,11
301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,1,18
302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,11,8
303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,6,5
304,Deanwood Rec Center,31711,38.908473,-76.933099,8,7
305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,5,12
306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,2,9
307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,6,9
308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,11,8
309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,4,15
310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,11,7
311,31st & Woodrow St S,31072,38.837666,-77.09482,5,6
312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,6,9
313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,10,4
314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,12,3
315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,8,7
316,Shady Grove Hospital,32042,39.097636,-77.196636,10,9
317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,4,6
318,Rockville Metro East,32044,39.085394,-77.145803,5,8
319,1st & H St NW,31638,38.900358,-77.012108,6,9
320,Fort Totten Metro,31515,38.952369,-77.002721,7,11
321,Takoma Metro,31408,38.975219,-77.016855,0,19
322,Rhode Island Ave Metro,31516,38.920682,-76.995876,5,12
323,Rolfe St & 9th St S,31075,38.866471,-77.076131,5,6
324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,9,6
325,Shady Grove Metro West,32045,39.119765,-77.166093,11,8
326,River Rd & Landy Ln,32046,38.964992,-77.103381,11,8
327,Rockville Metro West,32047,39.084379,-77.146866,6,13
328,Bethesda Metro,32048,38.984691,-77.094537,4,7
329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,19,0
330,34th & Water St NW,31314,38.903582,-77.067786,9,9
331,Duke St & John Carlyle St,31081,38.804378,-77.060866,13,2
332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,9,6
333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,2,9
334,MLK Library/9th & G St NW,31274,38.898404,-77.024281,9,11
335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,10,5
336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,8,10
337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,9,5
338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,10,1
339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,8,11
340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,9,1
341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,10,5
342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,6,8
343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,12,3
344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,4,17
345,Washington Adventist U / Flower Ave & Division St,32049,38.986743,-77.000035,7,8
346,6th & S Ball St,31090,38.864702,-77.048672,10,5
347,McKinley St & Connecticut Ave NW,31315,38.96497,-77.075946,11,8
348,15th & L St NW,31276,38.90381,-77.034931,2,18
349,17th & G St NW,31277,38.89841,-77.039624,21,7
350,Spring St & Second Ave,32050,38.997653,-77.034499,3,12
351,18th & R St NW,31278,38.912648,-77.041834,4,12
352,S Joyce & 16th St S,31091,38.859254,-77.063275,5,10
353,Union Market/6th St & Neal Pl NE,31517,38.908008,-76.996985,11,10
354,N Nelson St & Lee Hwy,31092,38.895929,-77.105246,3,10
355,21st St N & N Pierce St,31093,38.898984,-77.078317,5,10
356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,10,5
357,19th & G St NW,31279,38.898412,-77.043182,11,9
364,Army Navy Dr & S Nash St,31095,38.862467,-77.068242,6,9
366,8D OPS test,8D OPS test,0,0,0,0
367,11th & S St NW,31280,38.913761,-77.027025,13,9
